id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<tfidf>	weight<Occurrences>	score<pageranks>
283	例	0.1693	0.0615	2	64	104.6348	0.0062	4	0.0036
284	常	-0.059	0.2472	1	71	116.8584	0.0043	5	0.0039
285	周	0.0322	-0.3713	1	19	31.218	0.0201	33	0.0014
286	奠	-0.0154	-0.2896	1	40	64.9952	0.0031	4	0.0024
287	下室	-0.0364	-0.3599	1	31	50.6763	0.0035	4	0.002
288	滅	-0.4615	0.1148	1	27	43.447	0.0035	5	0.0018
289	諸侯	0.3439	-0.4087	2	19	29.4326	0.0171	30	0.0016
290	事	-0.5921	0.3833	1	14	21.7165	0.0193	36	0.0011
291	假	-0.0396	-0.1296	1	36	56.5007	0.0021	3	0.002
292	天子	0.6872	-0.187	2	34	53.57	0.0128	22	0.0027
293	界	0.563	0.4327	2	12	21.7698	0.0042	5	0.0015
294	兗州	0.5946	0.3954	2	11	19.2621	0.0026	5	0.0014
295	播	0.6104	0.3523	2	11	19.1521	0.0016	3	0.0013
296	河	0.5924	0.3264	2	11	19.1224	0.0022	3	0.0013
297	大陸	0.5602	0.3131	2	10	17.2298	0.0021	4	0.0012
298	徒	0.5115	0.1218	2	53	85.1814	0.0024	3	0.0037
299	九河	0.5724	0.3653	2	14	24.3914	0.0016	3	0.0016
300	西	0.7255	0.0861	2	29	46.9045	0.0039	5	0.0025
301	東	0.7265	0.1811	2	29	48.3563	0.0042	6	0.0027
302	分	0.7035	0.2717	2	16	27.9797	0.0065	13	0.0019
303	北	0.7053	0.3099	2	15	26.8261	0.0054	7	0.0018
304	小雅	-0.1821	-0.4909	2	8	12.9898	0.0039	3	0.0011
305	沈齊	0.2371	-0.4728	2	12	20.2676	0.0024	3	0.0021
306	澄	0.2739	-0.6034	2	6	10.3328	0.0068	8	0.0015
307	眾	-0.2699	-0.4833	2	45	72.2122	0.0064	5	0.0031
308	殷	-0.2449	-0.3546	1	25	40.671	0.0128	18	0.0016
309	聘禮	0.3762	-0.0539	2	50	81.3716	0.0007	1	0.0032
310	法	-0.0722	-0.4031	1	14	22.3934	0.0114	17	0.0011
311	節	-0.0042	0.3057	1	45	73.0691	0.0024	3	0.0026
312	禮運	0.2259	-0.4497	2	6	10.3158	0.0017	2	0.0013
313	今	0.6225	-0.1918	2	18	28.3863	0.018	42	0.0018
314	馬	1.1895	-0.0677	2	37	62.0838	0.0021	7	0.003
315	司馬法	1.0166	-0.2272	2	41	69.8732	0.0006	2	0.0033
316	匹	1.229	-0.0629	2	30	50.0095	0.0024	8	0.0025
317	甸	1.212	-0.161	2	35	60.2254	0.0022	7	0.0029
318	別	0.7973	-0.168	2	5	7.6097	0.0037	5	0.0007
319	制	0.242	-0.0829	2	8	12.7515	0.0109	20	0.0012
320	禮典	0.4143	-0.0079	2	8	13.3592	0.0008	1	0.0014
321	數	0.3778	0.0363	2	5	7.9133	0.0143	27	0.0009
322	朝	0.1822	-0.1665	2	8	13.236	0.0133	17	0.0011
323	須	0.0357	-0.019	2	44	71.5082	0.0036	3	0.0027
324	視	0.4257	0.0281	2	27	44.9872	0.0037	5	0.002
325	積	0.5161	0.2012	2	17	28.3973	0.0031	4	0.0014
326	埋	-0.7476	-0.3022	1	24	38.0624	0.003	3	0.0015
327	定	-0.7373	-0.5199	1	32	51.8277	0.0095	13	0.0022
328	特	0.441	0.2286	2	14	23.4905	0.0019	3	0.0013
329	孤	0.6678	-0.0172	2	28	46.1686	0.0041	6	0.0022
330	秦	-0.7708	-0.5567	1	26	43.0012	0.0035	3	0.002
331	告	-0.8149	-0.5443	1	20	33.2243	0.0021	5	0.0017
332	度	0.7756	0.4411	2	13	22.3562	0.0015	4	0.0016
333	小國	0.5243	0.0311	2	15	25.7031	0.0039	5	0.0014
334	五	0.834	0.095	2	15	23.6451	0.0125	25	0.0016
335	使	0.7184	-0.0777	2	14	22.2068	0.0041	7	0.0013
336	君	0.6679	-0.2747	2	19	30.9888	0.011	18	0.0017
337	土	-0.9661	-0.6644	1	15	25.9916	0.0038	7	0.0015
338	大祖	0.0747	-0.4386	2	11	18.9565	0.0025	3	0.0017
339	始	0.0563	-0.5843	2	7	12.4309	0.0053	8	0.0013
340	大夫	0.4518	-0.4787	2	11	17.4853	0.0054	11	0.0014
341	別子	0.1861	-0.5741	2	7	12.6939	0.0053	7	0.0014
342	廟	0.1693	-0.5493	2	8	14.1095	0.0115	13	0.0014
343	公	0.5718	-0.4338	2	7	11.037	0.0075	8	0.0009
344	立	-0.053	-0.5271	2	8	14.155	0.0079	9	0.0013
345	巡守	0.7429	0.2623	2	17	28.2746	0.0049	5	0.0022
346	六	1.0483	0.1614	2	15	24.0311	0.0094	22	0.0016
347	典禮	0.6437	0.1272	2	5	8.1403	0.0008	1	0.001
348	餰	-0.7069	0.8938	1	2	3.3045	0.0031	4	0.0006
349	酏	-0.7301	0.8764	1	2	3.3071	0.0039	5	0.0006
350	功	-0.323	-0.7949	2	6	10.3061	0.0018	3	0.0011
351	命	-0.8327	-0.4657	1	8	12.9101	0.0111	16	0.0008
352	畿服	0.6988	0.1738	2	8	12.4613	0.0017	3	0.0013
353	吳	-0.6017	0.2924	1	6	9.8199	0.0027	6	0.0007
354	廢	-0.331	0.1981	1	4	6.3494	0.008	7	0.0006
355	軍	-0.1903	-0.766	2	7	11.9381	0.0034	4	0.0013
356	獻	-0.1933	-0.7864	2	7	12.1807	0.0053	9	0.0013
357	師	-0.2689	-0.7988	2	6	10.363	0.0071	8	0.0012
358	樂	-0.2288	-0.6561	2	8	13.1873	0.0101	13	0.0012
359	矢人	1.1535	0.6119	2	3	5.1534	0.0008	1	0.0007
