id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
529	小雅	-0.2434	-0.4812	3	17	17	2
530	少	0.528	-0.5398	5	99	115	6
531	尚	0.6294	-0.7794	5	77	89	3
532	尚書	-0.3412	-0.5425	3	170	233	12
536	居	0.6716	-0.1887	5	156	186	6
543	山川	-0.6015	0.6523	1	22	25	3
547	崩	-0.7571	-0.5933	3	40	51	3
549	州	0.9123	-0.6091	2	26	38	3
552	巡守	0.209	-0.021	2	29	36	3
553	左	-0.8322	-0.4622	3	41	48	3
554	左傳	0.2797	-0.6842	2	94	108	4
557	己	-0.2457	-0.344	1	89	102	5
559	巾車	0.5986	0.5814	4	35	42	2
562	布	0.8858	0.6666	4	68	76	3
563	帝	-0.9952	0.1546	1	50	57	3
566	師	0.0907	0.475	4	68	82	5
569	常	-0.0163	0.6333	1	67	74	5
570	常人	-0.388	-0.7228	3	35	38	2
574	幅	0.5369	0.512	4	17	17	2
575	平	-0.7336	-0.1399	1	34	34	2
577	年	-0.0417	0.102	1	111	143	6
583	序	-0.1324	-0.5878	3	51	51	3
587	度	0.004	0.4634	1	30	32	2
594	廟	-0.2738	0.4006	1	76	102	7
596	廢	-0.5553	0.3408	1	47	48	4
597	廣	-0.1407	0.2358	3	26	26	2
601	建	0.0413	0.7974	4	82	105	5
606	弁	0.5387	0.7608	4	51	56	3
615	形	0.0556	0.7035	4	19	19	2
616	往	0.6221	-1.0253	5	47	47	2
619	後	-0.3835	-0.0082	1	221	349	16
622	徒	0.5067	-0.9388	5	62	65	3
628	德	0.0154	-0.8373	3	103	122	7
630	心	0.2037	-0.6546	5	81	89	4
632	忍	-0.2352	-0.8407	3	43	45	2
633	志	-0.3909	-0.2769	1	39	40	3
634	忘	-0.4996	-0.0845	3	27	27	2
638	思	0.4959	-0.6062	5	81	89	3
641	怪	0.022	0.5475	1	58	61	2
646	患	-0.2883	-0.6434	3	47	49	2
649	惟	-0.7355	0.383	1	89	98	4
650	惡	-0.0934	0.7154	1	31	33	2
661	憂	-0.5511	0.1943	3	30	32	2
665	戎	0.6388	-0.6245	5	93	105	3
668	成	-0.1527	0.9153	1	51	51	2
669	成王	-0.7227	-0.4883	3	60	81	5
670	我	-0.6357	-0.1962	3	22	24	2
671	戰	0.1894	-0.2541	3	47	52	3
677	房	-0.7933	0.2295	3	74	81	4
681	承	-0.6298	-0.4857	3	40	41	2
688	掌	0.8057	-0.0691	2	59	62	3
695	攝	-0.7001	-0.6183	3	38	43	2
696	改	-0.7607	-0.1804	3	71	77	5
697	放	-0.0174	-0.9525	3	28	29	2
698	政	-0.671	-0.6485	3	63	74	4
700	敢	-0.1674	0.0735	1	79	87	5
703	數	0.2801	-0.2061	2	187	269	12
704	斂	1.0974	0.5619	2	29	40	2
705	文	-0.4125	-0.2142	1	111	132	7
709	文武	-0.9555	-0.0247	1	50	58	4
710	文王	-0.797	-0.4099	3	114	159	10
717	斷	-0.2361	0.4439	1	39	42	2
718	方	0.8872	-0.0691	2	117	158	6
719	施	0.0111	0.0776	1	71	88	5
720	族	0.5272	-0.8014	5	31	34	2
724	日	-0.273	0.7874	1	105	140	7
725	日月	-0.5333	0.8408	1	52	55	2
727	旨	0.7521	-0.6222	2	81	87	3
728	早	-0.2719	0.4798	1	52	56	3
729	明	-0.2146	-0.5491	3	185	241	11
730	明堂	-0.634	-0.2551	1	89	114	6
731	明堂位	0.4649	-0.083	4	50	51	2
732	明文	-0.8859	0.1527	1	48	52	3
736	易	-0.0089	0.2031	2	55	57	5
737	星	-0.1836	0.843	1	47	53	3
741	春	-0.7789	0.5163	1	43	50	3
744	春秋	-0.215	-0.2532	1	175	219	9
753	時	-0.279	0.1018	3	340	635	37
755	晉	-0.266	-0.6058	3	32	32	2
762	暴	-0.5032	-0.6907	3	31	31	2
765	曲禮	-0.3223	-0.7512	3	49	50	2
769	會	-0.0624	-0.8648	2	63	66	3
771	月	-0.6903	0.5211	1	139	183	9
772	月令	-0.5894	0.596	1	80	97	5
773	服	-0.2623	-0.0148	1	85	108	9
774	朔	-0.4693	0.8954	1	52	54	2
775	朔月	0.0326	0.1367	1	37	37	2
776	朝	0.1924	-0.3566	2	139	188	9
781	期	-0.0952	0.5404	1	54	62	3
782	木	0.1299	0.6679	1	34	34	2
783	末	-0.4716	-0.8421	3	57	67	3
784	末世	-0.3028	0.3627	1	24	24	2
786	本	-0.1792	0.0058	3	81	92	7
790	東	0.3366	-0.867	5	99	111	5
791	東方	0.1022	0.2323	1	68	73	3
796	析木	-0.3281	0.733	1	27	30	2
799	校	0.9358	-0.1328	2	81	90	2
802	案	-0.2432	0.5694	1	95	103	5
809	楚丘	-0.3916	0.1781	3	30	31	2
816	樂	-0.1313	-0.4367	3	94	114	7
819	檀弓	-0.6237	0.0586	1	66	75	3
821	次第	0.6124	0.8071	4	37	37	2
822	欲	0.1195	0.0036	2	168	215	8
824	歌	-0.7277	0.6193	1	59	65	4
827	正	-0.4459	0.2653	1	136	184	13
828	正月	-0.8439	0.4071	1	40	42	3
832	正色	0.6282	0.6018	4	35	42	2
834	武王	-0.5259	-0.624	3	96	115	6
836	歸	-0.2271	-0.0538	3	52	54	3
840	死	-0.5136	-0.3106	3	83	96	4
844	殯	-0.3847	-0.1148	1	51	59	3
845	殷	-0.0778	-0.3377	3	158	226	14
847	殺	0.0683	-0.5145	3	51	53	3
848	母	-0.6062	-0.385	1	64	73	5
850	比	0.1525	-0.799	5	48	48	3
851	毛公	-0.0835	0.2624	3	50	53	4
852	毛詩傳	-1.0641	-0.1391	3	8	11	2
854	民	0.6453	0.2534	2	169	248	14
855	氣	-0.4186	0.8642	1	83	94	4
858	沈齊	0.5609	0.8854	2	15	19	2
863	河	-0.046	-0.6232	3	25	28	2
866	治	0.8314	0.042	2	62	74	4
868	法	0.2866	-0.3785	2	175	254	12
870	泛	-0.8169	0.4661	1	32	33	2
888	滅	-0.1541	0.4918	3	50	52	3
893	漢	-0.7605	0.1788	1	32	32	2
894	澄	0.5734	0.8642	2	15	19	2
896	濟	-0.0528	-0.3975	3	21	23	2
898	火	-0.553	0.6768	1	78	84	4
901	燕	0.5696	0.5177	4	55	57	4
903	爲	-0.0754	0.7888	2	27	27	2
904	爵	0.5263	-0.3581	2	90	132	7
905	父	0.0724	-0.7816	5	139	177	8
906	父母	0.3139	-0.6189	5	73	74	3
907	爾雅	0.3866	-0.5152	2	58	62	4
911	牧	0.8741	-0.6215	2	22	31	2
912	物	0.5401	-0.0694	2	100	112	6
914	特	0.4831	0.4105	2	52	61	3
922	狄	0.6918	-0.3864	5	103	115	3
925	獨	0.61	0.4647	2	56	60	3
927	獻	0.1693	0.8786	4	26	26	2
929	玄	0.3612	0.5862	4	54	56	2
932	玄衣	0.7091	0.8911	4	34	36	2
933	率	0.9384	-0.383	2	64	70	3
937	王	0.2904	0.3559	4	191	265	12
939	王制	0.1091	-0.3059	2	90	116	5
941	王城	0.4819	-0.7198	2	85	99	4
948	王者	-0.9255	0.0569	1	26	26	2
950	班冰	-0.2101	1.0219	1	31	38	2
951	理	0.9951	0.1697	2	63	65	2
955	生	-0.4469	-0.1673	3	61	67	4
956	田	0.8044	0.4537	2	60	77	5
967	男	0.9751	-0.0567	2	50	62	3
970	甸	1.1498	0.0007	2	68	75	2
972	界	0.0665	-0.5741	3	31	35	3
974	畫	0.2522	0.8888	4	13	13	2
975	異	0.5019	0.1118	2	242	396	17
976	異義	-0.8175	-0.1236	1	47	51	2
978	畿	0.8987	-0.2952	2	122	186	8
979	畿服	0.7269	-0.5311	2	60	61	2
982	疾	-0.0906	0.0284	1	57	64	3
987	發	0.2893	0.7519	4	54	56	3
988	白	0.6868	0.7521	4	55	58	2
990	白舄	0.6702	0.9069	4	35	38	2
992	百	0.9228	0.0146	2	125	175	7
998	皮弁	0.5109	0.8441	4	38	38	2
999	益	0.9516	0.3827	2	32	35	2
1000	盛	0.3557	-0.0968	2	18	18	2
1002	盡	0.1439	-0.5654	2	95	99	6
1012	眾	0.0618	0.1851	3	57	63	5
1019	社	-0.5026	0.4923	1	78	95	5
1021	祀	-0.4423	0.0972	1	128	161	8
1025	祖	-0.592	0.2648	1	107	138	9
1029	神	-0.8138	0.162	1	97	117	5
1031	祥	-0.9146	-0.0685	1	43	51	3
1032	祭	-0.6421	0.4291	1	153	237	17
1033	祭法	-0.7809	0.0962	1	70	83	4
1034	祭祀	-0.4472	-0.1169	1	30	31	2
1042	禘	-0.9975	-0.0361	1	33	33	2
1043	禘祫	-0.7509	-0.0645	1	36	38	2
1044	禦	0.2468	0.4561	4	67	73	3
1045	禫	-0.9554	-0.1598	1	35	39	2
1046	禮	-0.2686	-0.1462	1	336	656	36
1048	禮志	-0.4898	0.6703	1	20	20	2
1050	禮記	0.4542	0.2159	2	147	191	9
1051	禮運	0.5974	0.8479	2	15	19	2
1052	禱	-0.5043	-0.0064	1	17	17	2
1055	禹	0.126	-0.8951	3	75	87	3
1057	私	0.7007	0.0055	2	30	31	2
1058	秋	0.0986	0.76	1	50	54	3
1063	秦	-0.2759	-0.4487	3	33	33	2
1067	稅	1.0632	0.2201	2	83	112	6
1074	積	-0.1353	-0.3769	3	41	41	2
1076	立	-0.5411	-0.3733	3	65	86	6
1083	筮	-0.1845	-0.7369	3	32	35	2
1084	箋	-0.4697	-0.5331	3	104	132	9
1085	箕子	0.3118	-0.7707	3	38	39	2
1086	算	1.1412	0.4894	2	29	40	2
1088	節	-0.1058	0.8559	1	69	74	3
1095	紂	-0.38	-0.8317	3	61	68	3
1097	純	-0.1068	-0.1893	1	37	38	2
1101	素裳	0.6409	0.9199	4	35	38	2
1102	紼	-0.6774	0.5977	1	22	30	2
1103	終	-0.4935	0.6184	1	82	84	3
1108	經	-0.446	0.164	1	87	111	5
1113	縣	1.1095	0.1093	2	60	71	3
1116	繼	0.334	-0.1338	2	43	43	2
1117	繼母	-0.2846	-0.303	1	15	17	3
1120	罪	0.2914	-0.528	3	56	59	4
1122	置	0.7872	-0.2152	2	10	10	2
1133	耕	1.0259	0.5177	2	37	42	2
1136	聖人	-0.374	-0.9218	3	36	41	2
1139	聞	-0.5279	0.2621	1	36	37	2
1140	聯	0.5584	-0.7952	5	31	34	2
1141	聲	0.2214	0.5369	4	26	26	3
1142	職	0.7654	0.0975	2	196	329	16
1144	聽	-0.4386	-0.3398	3	6	6	2
1154	臣	0.7574	-0.7927	5	63	64	3
1157	致	-0.4558	-0.6709	3	88	101	5
1159	興	-0.36	-0.6449	3	108	136	8
1160	舉	-0.361	0.3145	1	102	123	6
1161	舊	-0.5121	0.2278	1	31	31	2
1165	舜	0.2694	-0.884	2	59	64	2
1167	色	0.7281	0.8587	4	34	36	2
1169	苟	-0.826	0.0114	3	29	31	2
1177	著	-0.7166	-0.0924	1	70	77	5
1178	葬	-0.2855	0.3036	1	64	78	4
1179	蒙	0.655	-0.9034	5	52	52	2
1186	薦	-0.1745	1.0371	1	31	38	2
1188	藏	-0.265	0.9816	1	39	40	2
1191	處	-0.1165	-0.8133	3	92	102	4
1192	虞	0.5814	-0.4921	2	84	99	4
1193	號	-0.7681	-0.5373	3	54	60	4
1198	蠻	0.5546	-0.8755	5	74	81	2
1200	行	-0.567	-0.1374	3	128	157	13
1201	行露	-0.6233	-0.5955	3	24	25	3
1202	術	0.3975	0.7529	2	85	88	2
1203	衛	-0.5465	0.0021	1	56	62	5
1204	衣	0.3691	0.6567	4	58	63	3
1205	衣服	0.1957	0.3717	4	56	59	2
1206	衰	-0.7057	-0.397	3	42	47	4
1211	裏	0.7959	0.727	4	50	52	2
1218	西	0.2309	-1.0126	5	73	78	3
1225	要	-0.6118	0.0991	1	34	34	2
1227	視	0.2057	0.1995	2	69	83	4
1228	親	0.4111	-0.7309	5	88	97	4
1233	觀	-0.1981	-0.4587	3	52	56	4
1234	解	0.575	0.6524	4	95	108	6
1236	計	1.0646	-0.099	2	95	117	3
1238	記	-1.0619	-0.1577	3	8	11	2
1240	設	-0.0356	-0.5715	3	91	104	5
1242	許氏	-0.8031	-0.0576	1	47	51	2
1244	詩	-0.6758	-0.1549	3	89	102	10
1245	誅	0.0545	-0.9247	3	58	63	3
1248	誤	0.2797	0.6383	4	26	26	2
1250	誰	-0.6288	-0.0324	3	51	54	3
1252	請	0.1973	0.2734	4	92	107	4
1253	論	0.6723	-0.5122	2	105	128	4
1256	諸侯	0.1236	-0.4317	2	247	421	22
1260	譏	-0.8788	-0.3511	1	69	80	4
1263	變	-0.5743	0.7782	1	52	52	2
1269	豐	-0.4267	-0.8416	3	29	29	2
1275	豳	0.0273	0.7318	1	30	32	2
1281	責	0.22	-0.5631	2	66	69	3
1285	賜	0.1368	0.1975	2	34	36	2
1286	賢	-0.1325	-0.6559	3	72	83	5
1291	賦	0.8725	0.3029	2	98	134	7
1299	越	-0.2803	0.6879	1	45	55	3
1302	趣	0.5618	-1.015	5	63	71	2
1303	足	0.1982	-0.525	3	39	39	3
1304	跡	-0.7339	-0.3574	3	43	45	2
1307	軍	0.2333	0.6926	4	44	50	3
1308	軍賦	1.1608	0.1883	2	53	61	2
1309	載	0.5622	0.3495	4	42	44	2
1310	載師	1.0716	0.4887	2	28	34	2
1312	轉	-0.6238	0.8388	1	68	70	2
1314	辟	0.3761	-0.8063	5	57	59	2
1321	迎	-0.9979	0.2505	1	18	19	2
1322	近	-0.3578	0.781	1	70	76	4
1324	述	-0.6152	-0.6499	3	35	39	3
1329	通	-0.1578	0.6466	1	122	148	8
1330	造	-0.6366	-0.7173	3	26	26	2
1333	進	0.7661	-0.0036	2	35	37	2
1336	遇	0.6613	-0.9625	5	47	48	2
1338	過	0.3315	0.2528	2	154	197	9
1339	道	0.1277	0.3905	2	83	94	6
1341	遠	-0.0895	0.6178	3	33	34	2
1343	適	0.8728	0.1229	2	75	79	3
1345	遷	-0.5395	-0.4413	3	62	68	5
1350	還	-0.912	0.0216	1	50	55	5
1357	郊	-0.5157	0.0567	1	81	97	5
1358	郊特牲	-0.5718	-0.262	3	37	39	2
1359	郊社	-0.6481	0.6617	1	51	64	3
1363	都	0.9459	0.1118	2	67	77	4
1365	鄉	0.3141	0.6216	2	37	38	2
1366	鄉遂	0.7271	-0.749	2	46	48	2
1368	鄭人	0.2998	-0.9845	5	68	70	2
1371	配	-0.8827	0.5429	1	82	108	7
1374	酒	0.5835	0.7266	2	21	27	3
1381	里	0.988	-0.2346	2	122	187	7
1382	重	0.6272	0.1623	2	64	72	4
1388	錯	-0.0686	-0.4595	1	69	73	3
1390	鎬京	-0.9029	-0.2088	3	22	26	2
1396	門	0.142	-0.2525	5	46	46	2
1401	間	0.0513	0.4102	1	64	72	5
1402	閔	-0.5837	0.1923	3	30	32	2
1404	閭	0.503	-0.818	5	31	34	2
1405	閭師	1.1102	0.5303	2	29	40	2
1414	除	0.3889	0.1463	2	47	49	2
1417	陰陽	-0.4812	0.9946	1	52	54	2
1423	隨	-0.445	-0.5913	3	40	43	3
1425	雅	-0.5538	-0.5447	3	34	38	4
1427	雜	-0.0327	-0.0366	1	23	24	2
1434	青	0.6278	0.867	4	35	35	2
1444	頃	0.6179	0.0742	2	23	25	2
1447	須	-0.2135	0.6738	1	47	50	3
1448	頌	-0.6124	-0.5691	3	17	19	2
1450	顓頊	-0.7298	0.0274	1	36	37	2
1451	類	0.0512	-0.6287	5	13	13	2
1453	風	-0.5815	-0.5953	3	33	37	4
1456	食	0.0952	0.5908	1	153	194	9
1461	飾	0.5097	0.9018	4	46	47	2
1462	餘	0.982	0.2626	2	104	137	5
1472	駁	-0.8277	-0.0874	1	47	51	2
1477	體	-0.176	0.7384	1	20	20	2
1486	魯	-0.5126	-0.1948	1	98	117	6
1502	黃帝	-0.6347	0.8924	1	47	49	3
1504	黎	-0.697	-0.0316	1	27	29	2
1515	齊	-0.019	0.0219	3	66	71	5
